course,term,term_seq,session,date,lecture_n,title,topic_id,is_review
2.71,2014S,20141,1,,1,Nature of Light,T01,false
2.71,2014S,20141,2,,2,Geometrical Optics,T02,false
2.71,2014S,20141,3,,3,"Optical Instrumentation, Magnifier Lens, Microscopes, Telescopes",T03,false
2.71,2014S,20141,4,,4,Matrix Methods in Paraxial Optics,T04,false
2.71,2014S,20141,5,,5,Apertures and Stops,T05,false
2.71,2014S,20141,6,,6,"Gradient Index Lenses, Hamiltonian Optics",T06,false
2.71,2014S,20141,7,,7,Review of Geometrical Optics,,true
2.71,2014S,20141,8,,,Quiz 1,,false
2.71,2014S,20141,9,,9,Electromagnetic Wave Equations,T07,false
2.71,2014S,20141,10,,10,"Eikonal Equations, Gradient Index Lenses, Hamiltonian Optics",T06,false
2.71,2014S,20141,11,,11,"Superposition of Waves, Interference, Optical Interferometry",T08,false
2.71,2014S,20141,12,,12,Spatial Fourier Transforms,T09,false
2.71,2014S,20141,13,,13,Math Tutorial on Spatial Fourier Transforms,T09,false
2.71,2014S,20141,14,,14,Fraunhofer Diffraction,T10,false
2.71,2014S,20141,15,,15,Diffraction Gratings,T11,false
2.71,2014S,20141,16,,16,Fresnel Diffraction and Examples,T12,false
2.71,2014S,20141,17,,17,Examples of Coherent Spatial Filtering,T13,false
2.71,2014S,20141,18,,18,"Optical Imaging Systems with Spatially Incoherent Engineering Illumination, Resolution in Optical Systems, Pupil",T14,false
2.71,2014S,20141,19,,,Field Trip to Center for Astrophysics,,false
2.71,2014S,20141,20,,20,"Fresnel Diffraction, Depth of Field and Depth of Focus, Holography",T15,false
2.71,2014S,20141,21,,21,"Gaussian Beams, Principles of Lasers",T16,false
2.71,2014S,20141,22,,22,"Vector Properties of Electromagnetic Fields: Polarization, Waveplates; Birefringence",T17,false
2.71,2014S,20141,23,,,Project Presentations,,false
2.71,2014S,20141,24,,,Project Presentations (cont.),,false
2.71,2014S,20141,25,,25,"Review of Scalar and Vector Wave Optics, Outlook",,true
