course,exam_id,exam_type,original_name,term,term_seq,session,session_source,date,total_points,coverage_from_session,coverage_to_session,cumulative,cumulative_basis,sealed,problems_url,solutions_url,url_verified,role
6.003,6.003-quiz1-2009F,quiz1,Quiz #1 (cover); Quiz 1 (Exams page),2009F,20093,1000,synthetic,2009-10-07,100,,,,unknown: no calendar published for this term; x2 is not used on exam_history targets,false,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/c57588fac67cb746ae3d380218357070_MIT6_003F11_F09q1.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/9b3be4e48a6c7c4e6f8a0844def67650_MIT6_003F11_F09q1_sol.pdf,true,x1_input
6.003,6.003-quiz2-2009F,quiz2,Quiz #2 (cover); Quiz 2 (Exams page),2009F,20093,2000,synthetic,2009-10-28,100,,,,unknown: no calendar published for this term; x2 is not used on exam_history targets,false,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/394dc0579a72293393261d95c8f7b40c_MIT6_003F11_F09q2.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/3f4e6d962f74becf9c837714818f9ac0_MIT6_003F11_F09q2_sol.pdf,true,x1_input
6.003,6.003-quiz3-2009F,quiz3,Quiz #3 (cover); Quiz 3 (Exams page),2009F,20093,3000,synthetic,2009-11-18,100,,,,unknown: no calendar published for this term; x2 is not used on exam_history targets,false,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/9fcf490ce20ab0247b756e1d3bf34a9b_MIT6_003F11_F09q3.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/0e46a5f2bb08ececade605a10b342993_MIT6_003F11_F09q3_sol.pdf,true,x1_input
6.003,6.003-final-2009F,final,Final Examination (cover); Final Exam (Exams page),2009F,20093,9000,synthetic,2009-12-17,100,,,true,assumed (W-FINAL): no page states the final is cumulative; no calendar published for this term,false,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/6af64c160948026a525bb02fad92d351_MIT6_003F11_F09final.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/4cfb736bf5e49959777fbb3b616fb2d8_MIT6_003F11_F09final_sol.pdf,true,x1_input
6.003,6.003-quiz1-2010S,quiz1,Quiz #1 (cover); Quiz 1 (Exams page),2010S,20101,1000,synthetic,2010-03-03,100,,,,unknown: no calendar published for this term; x2 is not used on exam_history targets,false,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/08cc55cad8dc7412ee2d10f75514dc27_MIT6_003F11_S10q1.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/033f0c06f1ca1db0d808779fba9b5c47_MIT6_003F11_S10q1_sol.pdf,true,x1_input
6.003,6.003-quiz2-2010S,quiz2,Quiz #2 (cover); Quiz 2 (Exams page),2010S,20101,2000,synthetic,2010-04-07,100,,,,unknown: no calendar published for this term; x2 is not used on exam_history targets,false,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/e4216385308967eda80a28f8614348ec_MIT6_003F11_S10q2.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/9c2f69fc6b30958c1f50b5a5357e02c8_MIT6_003F11_S10q2_sol.pdf,true,x1_input
6.003,6.003-quiz3-2010S,quiz3,Quiz 3 (NOT published: Exams page says it 'covers different topics and therefore has been omitted'),2010S,20101,3000,synthetic,,,,,,unknown: no calendar published for this term; x2 is not used on exam_history targets,false,,,false,excluded
6.003,6.003-final-2010S,final,Final Examination (cover); Final Exam (Exams page),2010S,20101,9000,synthetic,2010-05-20,100,,,true,assumed (W-FINAL): no page states the final is cumulative; no calendar published for this term,false,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/dcab0638addecda09309f8f8daea6a3c_MIT6_003F11_S10final.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/37fde2bff62fede1b8315a45901428fc_MIT6_003F11_S10final_sol.pdf,true,x1_input
6.003,6.003-quiz1-2011F,quiz1,"Quiz 1 (Exams page); Exam 1 (calendar row 8); Midterm 1, 10% (syllabus)",2011F,20113,9,calendar_shared_row,2011-10-05,100,,,false,assumed (W-QUIZ): no page states quiz coverage; pre-registered window = lectures given after the previous in-term exam through the last lecture before this exam (no previous exam: sessions 1-8); coverage_* blank (nothing states it): sql/coverage_window.sql derives it (since_previous_exam),false,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/abaccd6013647c3dcacc697edfab18b0_MIT6_003F11_q1.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/65e858c21837a32166b9686e89c4d411_MIT6_003F11_q1_sol.pdf,true,target_full
6.003,6.003-quiz2-2011F,quiz2,"Quiz 2 (Exams page); Exam 2 (calendar row 13); Midterm 2, 15% (syllabus)",2011F,20113,14,calendar_shared_row,2011-10-26,100,9,13,false,assumed (W-QUIZ): no page states quiz coverage; pre-registered window = lectures given after the previous in-term exam through the last lecture before this exam (Quiz 1 at session 9: sessions 9-13); coverage_* PINNED although not stated: blank it once sql/coverage_window.sql starts the since-previous-exam window AT the previous exam's session (W-QUIZ),false,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/843195ca304060768566dd95d468f41b_MIT6_003F11_q2.pdf,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/ae6f417a2310e54f4fceef3ac20ceeec_MIT6_003F11_q2_sol.pdf,true,target_full
