sha256,doc_id,doctype,is_solution,exam_id,exam_type,term,n,date,date_source,title,page_url,pdf_url,bytes,text_chars,ocr
97563610c96e0b9e2abe245e780c83b2546e48bdfa085e1329aaf0231d8eefe3,6.641-2009S-lec1,lecture,False,,,2009S,1,2009-02-03,assumed,PDF,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/resources/mit6_641s09_lec01/,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/01706aa68260e3c0295d85ca927c0870_MIT6_641s09_lec01.pdf,373697,2229,False
2339eff0f2a21176d92684fcd1198554f51c0d3f8510c2313a8b7cb461486b6f,6.641-2009S-lec10,lecture,False,,,2009S,10,2009-03-05,assumed,PDF,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/resources/mit6_641s09_lec10/,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/533990b05080585c0595ebfd764754f9_MIT6_641s09_lec10.pdf,591589,3104,False
425d9b4d129bfb2d35db0b0f9a72385c81492d4231a91c37964de782b770dd17,6.641-2009S-lec11,lecture,False,,,2009S,11,2009-03-10,assumed,PDF,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/resources/mit6_641s09_lec11/,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/95e68459c2754e761460ee01821dc6c2_MIT6_641s09_lec11.pdf,556965,3182,False
6e69a87c899e42947da1782efafb3934cb2314e6ad4e8ca5b1d8bca542053fdb,6.641-2009S-lec12,lecture,False,,,2009S,12,2009-03-12,assumed,PDF,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/resources/mit6_641s09_lec12/,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/044362926d4b6bc9f849f4ece0c4c1f7_MIT6_641s09_lec12.pdf,443023,3318,False
0789fc58bc33fe244ceb029b6c5ae399ff18f4c612b209c393d2d2ec5777fafb,6.641-2009S-lec13,lecture,False,,,2009S,13,2009-03-17,assumed,PDF,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/resources/mit6_641s09_lec13/,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/925dc9350b95b52de48c628571e31491_MIT6_641s09_lec13.pdf,682259,5168,False
1b738143485e699e06b7ef8c523814914784b10081d9687ef7a11644ac74976a,6.641-2009S-lec14,lecture,False,,,2009S,14,2009-03-19,assumed,PDF - 1.6MB,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/resources/mit6_641s09_lec14/,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/c0be7870aa8956ff976d36582f3b5bc0_MIT6_641s09_lec14.pdf,1709894,5964,False
c7d1c93e84a5e4c2f283fbb1efa474c75e505fd4b00e7b0d2cc733f26dddd5ba,6.641-2009S-lec15,lecture,False,,,2009S,15,2009-03-24,assumed,PDF,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/resources/mit6_641s09_lec15/,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/d73e79c9e065499bda537452d5278d1a_MIT6_641s09_lec15.pdf,587198,8593,False
f625e770cf16c6770a1a031c13571022df82930305e1acb713d5c8be7eaae8e5,6.641-2009S-lec16,lecture,False,,,2009S,16,2009-03-26,assumed,PDF,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/resources/mit6_641s09_lec16/,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/e8281238b3c2ca50f7cafec9740da4fc_MIT6_641s09_lec16.pdf,1008986,5070,False
94a956f528a4372483b52afeb2a17fdd97c5533290b95eb6f3d2d00ee642f090,6.641-2009S-lec17,lecture,False,,,2009S,17,2009-03-31,assumed,PDF - 1.2MB,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/resources/mit6_641s09_lec17/,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/35a13117993d63e6b7e8cad5acc1f67c_MIT6_641s09_lec17.pdf,1285421,7099,False
377c3e66eac165a7caaf950e7e976334289b66face3dca1a446427bd399275be,6.641-2009S-lec18,lecture,False,,,2009S,18,2009-04-02,assumed,PDF - 1.3MB,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/resources/mit6_641s09_lec18/,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/adec66e1ae8f0c5c9d1e049c28a8a1f5_MIT6_641s09_lec18.pdf,1409930,3812,False
