sha256,doc_id,doctype,is_solution,exam_id,exam_type,term,n,date,date_source,title,page_url,pdf_url,bytes,text_chars,ocr
1f27ad1feca35db97c92ba2cc34471fc7dfb6e03305f36acbf8a8ebef298cbbd,6.003-2011F-lec1,lecture,False,,,2011F,1,2011-09-07,assumed,Signals and Systems (PDF),https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/resources/mit6_003f11_lec01/,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/012675925c0f652bb179b6a33cd3d13b_MIT6_003F11_lec01.pdf,783976,7897,False
32be2c8a1b53d285842308e08c3840adc14bc4c61b55896f74b5ec4df1e67b77,6.003-2011F-lec10,lecture,False,,,2011F,10,2011-10-07,assumed,Feedback and Control (PDF - 1.4MB),https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/resources/mit6_003f11_lec10/,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/05005fd58267b483b50d145b8e23e085_MIT6_003F11_lec10.pdf,1416085,8944,False
e35891b9e2a33a95e3c2c686d0abd5722fcf486c3417a113892b2214bcf8698e,6.003-2011F-lec11,lecture,False,,,2011F,11,2011-10-12,assumed,Continuous-Time (CT) Frequency Response and Bode Plot (PDF - 1.1MB),https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/resources/mit6_003f11_lec11/,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/2fe2230fd119de2ffe4d4a132d7aa7e5_MIT6_003F11_lec11.pdf,1129539,10935,False
49ac585a2e673f0811ba6fe836a0b53a931f6be14c610c5601d13fb8ff03a822,6.003-2011F-lec12,lecture,False,,,2011F,12,2011-10-14,assumed,"Continuous-Time (CT) Feedback and Control, Part 1 (PDF)",https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/resources/mit6_003f11_lec12/,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/34a432915f7bc013d5d4436f1e7195d9_MIT6_003F11_lec12.pdf,875540,7084,False
dd04ece34207e4c47b7aace1e48f7908ecbd222fe4f67a89097bcc2b4146436d,6.003-2011F-lec13,lecture,False,,,2011F,13,2011-10-19,assumed,"Continuous-Time (CT) Feedback and Control, Part 2 (PDF)",https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/resources/mit6_003f11_lec13/,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/43225bd796f8a82c15e6969162f84ee3_MIT6_003F11_lec13.pdf,805560,6460,False
6732a242b719369e9879ab345f09a3eff5e938e10b516c415a0cb9b8ec1fa165,6.003-2011F-lec14,lecture,False,,,2011F,14,2011-10-21,assumed,Fourier Representations (PDF),https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/resources/mit6_003f11_lec14/,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/d94cd6fe8241b36f1b8c8b043903da29_MIT6_003F11_lec14.pdf,619829,9300,False
02f5f937f2ec7b91510aa6b086a42847a2dc683cb59bd12dff62e770bd2e5127,6.003-2011F-lec15,lecture,False,,,2011F,15,2011-10-26,assumed,Fourier Series (PDF),https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/resources/mit6_003f11_lec15/,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/72c3d01402fa6b7c109b7b88d399115e_MIT6_003F11_lec15.pdf,568437,6688,False
0dde9b9717bb14eee7303625beafc854ecb5cd7d761d3aa339262b1a0141dd6c,6.003-2011F-lec16,lecture,False,,,2011F,16,2011-10-28,assumed,Fourier Transform (PDF),https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/resources/mit6_003f11_lec16/,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/d74bab2dfa6e465d61fed45763d50528_MIT6_003F11_lec16.pdf,949727,7400,False
07b5b6371ae0b54648546b273e8ed8403794a604b5dee26d85dc6ad316f78745,6.003-2011F-lec17,lecture,False,,,2011F,17,2011-11-02,assumed,Discrete-Time (DT) Frequency Representations (PDF),https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/resources/mit6_003f11_lec17/,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/e2884792e474bcc842f75071f4c9bacb_MIT6_003F11_lec17.pdf,507387,10767,False
7db3f35c097345ceccf739fe2b5492cae41712aa50832d1b6d165eee70f1a95a,6.003-2011F-lec18,lecture,False,,,2011F,18,2011-11-04,assumed,Discrete-Time (DT) Fourier Representations (PDF - 2.3MB),https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/resources/mit6_003f11_lec18/,https://ocw.mit.edu/courses/6-003-signals-and-systems-fall-2011/51713137a4b20db4c4b18e31f16f93ab_MIT6_003F11_lec18.pdf,2436768,11532,False
