course,exam_id,exam_type,original_name,term,term_seq,session,session_source,date,total_points,coverage_from_session,coverage_to_session,cumulative,cumulative_basis,sealed,problems_url,solutions_url,url_verified,role
6.641,6.641-quiz1-2009S,quiz1,"Midterm (OCW Exams page '2009 Exams: Midterm', file quiz2009; header 'Mid-Term Exam', March 17, 2009)",2009S,20091,12,calendar_shared_row,2009-03-17,100,1,11,false,not applicable: first exam of the term; coverage window stated (guideline 6.641-G01),false,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/fd5a858b84fa327d4bf1be61f273d725_MIT6_641s09_quiz2009.pdf,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/76f2a74bf18bf47c4f598be49c47754c_MIT6_641s09_sol_quiz2009.pdf,true,target_full
6.641,6.641-final-2009S,final,"Final exam (OCW Exams page '2009 Exams: Final exam', file exam2009; header dated 5/20/2009)",2009S,20091,26,calendar_shared_row,2009-05-20,100,,,true,"assumed: no coverage statement exists (syllabus, calendar, psets silent); coverage_* blank because the contract reserves them for stated windows, so the window comes from cumulative=true: sessions 1-25 (L16/L17 not taught)",false,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/df3154af75302fe2e1012aee9347c880_MIT6_641s09_exam2009.pdf,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/b5b8630c04de67d4e17e0582b417ae55_MIT6_641s09_sol_exam2009.pdf,true,target_full
6.641,6.641-quiz1-2008S,quiz1,"Quiz 1 (OCW Exams page '2008 Exams', file quiz2008; dated March 18, 2008)",2008S,20081,1000,synthetic,2008-03-18,,,,false,not applicable: first exam of the term; no coverage statement available for this term,false,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/07467b486ae4eef42625a869ba5e9e89_MIT6_641s09_quiz2008.pdf,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/9d268122293f688cf3ce9c67001290b4_MIT6_641s09_sol_quiz2008.pdf,true,target_history
6.641,6.641-final-2008S,final,"Final exam (OCW Exams page '2008 Exams', file exam2008; dated 5/15/2008)",2008S,20081,9000,synthetic,2008-05-15,,,,true,assumed: convention for finals; no coverage statement available for this term,false,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/371b25187f38905ab2f480c4b84fecb0_MIT6_641s09_exam2008.pdf,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/8e75540130efcce621f4838910971a96_MIT6_641s09_sol_exam2008.pdf,true,target_history
6.641,6.641-quiz1-2006S,quiz1,"Quiz 1 (OCW Exams page '2006 Exams', file quiz2006_1; dated March 22, 2006)",2006S,20061,1000,synthetic,2006-03-22,,,,false,not applicable: first exam of the term; no coverage statement available for this term,false,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/35b3b6abc1a143929cf6660c1964706c_MIT6_641s09_quiz2006_1.pdf,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/c452cae3dbf3f254d381e77c8e8b35da_MIT6_641s09_sol_quiz2006_1.pdf,true,x1_input
6.641,6.641-quiz2-2006S,quiz2,"Quiz 2 (OCW Exams page '2006 Exams', file quiz2006_2; dated May 3, 2006; footer 'Quiz 2, Spring 2006')",2006S,20061,2000,synthetic,2006-05-03,,,,false,not applicable: quiz; no coverage statement available for this term,false,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/a3da032cce8b6a4557b88361ca1129ab_MIT6_641s09_quiz2006_2.pdf,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/9103e0691ecdee422ffc070ade7d0282_MIT6_641s09_sol_quiz2006_2.pdf,true,x1_input
6.641,6.641-final-2006S,final,"Final exam (OCW Exams page '2006 Exams', file exam2006; 'Tuesday, May 23, 2006', 'Spring 2006')",2006S,20061,9000,synthetic,2006-05-23,,,,true,assumed: convention for finals; no coverage statement available for this term,false,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/9fc188da7eba562b8405004b94123dcf_MIT6_641s09_exam2006.pdf,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/85e5b9f0020dc7ec5c7a2f4134c943a9_MIT6_641s09_sol_exam2006.pdf,true,target_history
6.641,6.641-final-2000S,final,"Final Exam 2000 Solutions - partial (packet): Problems 1, 2, 4, 5 only; Spring 2005 Final Review Packet PDF pp. 28-35",2000S,20001,9000,synthetic,,,,,true,assumed: convention for finals; term season not stated (spring assumed),false,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/79ff30b0b9aba18fcc28b444456c842a_MIT6_641s09_exam_review.pdf,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/79ff30b0b9aba18fcc28b444456c842a_MIT6_641s09_exam_review.pdf,true,x1_input
6.641,6.641-final-1998S,final,"Final Exam 1998 Solutions - partial (packet): Problems 1-5 listed, completeness of the original paper unverified; Spring 2005 Final Review Packet PDF pp. 8-18",1998S,19981,9000,synthetic,,,,,true,assumed: convention for finals; term season not stated (spring assumed),false,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/79ff30b0b9aba18fcc28b444456c842a_MIT6_641s09_exam_review.pdf,https://ocw.mit.edu/courses/6-641-electromagnetic-fields-forces-and-motion-spring-2009/79ff30b0b9aba18fcc28b444456c842a_MIT6_641s09_exam_review.pdf,true,x1_input
6.641,6.641-final-1995S,final,Final Exam 1995 Solutions - partial (packet): Problems 1 and 5 only; Spring 2005 Final Review Packet PDF pp. 23-27; EXCLUDED from x1 (A-PACKET): only 2 problems observed,1995S,19951,9000,synthetic,,,,,true,assumed: convention for finals; term season not stated (spring assumed),false,,,false,excluded
